protein1,protein2,score,disease
TNFRSF1A,NFKB1,0.848,Hepatitis A
TNFRSF1A,CASP8,0.998,Hepatitis A
TNFRSF1A,TAB2,0.998,Hepatitis A
TNFRSF1A,TRADD,0.999,Hepatitis A
TNFRSF1A,TNF,0.999,Hepatitis A
TNFRSF1A,CHUK,0.999,Hepatitis A
TNFRSF1A,RIPK1,0.999,Hepatitis A
TNFRSF1A,TRAF2,0.999,Hepatitis A
TNFRSF1A,TNFRSF1B,0.999,Hepatitis A
TNFRSF1A,MAP3K7,0.999,Hepatitis A
NFKB1,CASP8,0.664,Hepatitis A
NFKB1,TRAF2,0.718,Hepatitis A
NFKB1,TNFRSF1B,0.731,Hepatitis A
NFKB1,TRADD,0.756,Hepatitis A
NFKB1,MAP3K7,0.769,Hepatitis A
NFKB1,TAB2,0.893,Hepatitis A
NFKB1,RIPK1,0.895,Hepatitis A
NFKB1,TNF,0.999,Hepatitis A
NFKB1,CHUK,0.999,Hepatitis A
TRAF2,MAP3K7,0.988,Hepatitis A
TRAF2,TAB2,0.994,Hepatitis A
TRAF2,CASP8,0.994,Hepatitis A
TRAF2,TNFRSF1B,0.994,Hepatitis A
TRAF2,CHUK,0.995,Hepatitis A
TRAF2,TNF,0.999,Hepatitis A
TRAF2,TRADD,0.999,Hepatitis A
TRAF2,RIPK1,0.999,Hepatitis A
RIPK1,TNFRSF1B,0.505,Hepatitis A
RIPK1,MAP3K7,0.996,Hepatitis A
RIPK1,CHUK,0.998,Hepatitis A
RIPK1,CASP8,0.999,Hepatitis A
RIPK1,TAB2,0.999,Hepatitis A
RIPK1,TNF,0.999,Hepatitis A
RIPK1,TRADD,0.999,Hepatitis A
TRADD,TNFRSF1B,0.939,Hepatitis A
TRADD,TAB2,0.976,Hepatitis A
TRADD,MAP3K7,0.976,Hepatitis A
TRADD,CHUK,0.984,Hepatitis A
TRADD,CASP8,0.999,Hepatitis A
TRADD,TNF,0.999,Hepatitis A
CASP8,TAB2,0.465,Hepatitis A
CASP8,TNFRSF1B,0.484,Hepatitis A
CASP8,MAP3K7,0.747,Hepatitis A
CASP8,CHUK,0.95,Hepatitis A
CASP8,TNF,0.999,Hepatitis A
TAB2,CHUK,0.991,Hepatitis A
TAB2,MAP3K7,0.999,Hepatitis A
TAB2,TNF,0.999,Hepatitis A
MAP3K7,CHUK,0.994,Hepatitis A
MAP3K7,TNF,0.999,Hepatitis A
CHUK,TNFRSF1B,0.529,Hepatitis A
CHUK,TNF,0.999,Hepatitis A
TNFRSF1B,TNF,0.999,Hepatitis A
DCN,LTBP3,0.405,Hepatitis B
DCN,TGFBR1,0.428,Hepatitis B
DCN,TGFBR2,0.43,Hepatitis B
DCN,TGFBR3,0.481,Hepatitis B
DCN,ENG,0.55,Hepatitis B
DCN,LTBP1,0.6,Hepatitis B
DCN,TGFB1,0.999,Hepatitis B
TGFBR3,TGFBR1,0.977,Hepatitis B
TGFBR3,TGFBR2,0.986,Hepatitis B
TGFBR3,TGFB1,0.997,Hepatitis B
TGFB1,ITGAV,0.994,Hepatitis B
TGFB1,LRRC32,0.995,Hepatitis B
TGFB1,LTBP3,0.996,Hepatitis B
TGFB1,LTBP4,0.997,Hepatitis B
TGFB1,ENG,0.998,Hepatitis B
TGFB1,TGFBR1,0.999,Hepatitis B
TGFB1,LTBP1,0.999,Hepatitis B
TGFB1,TGFBR2,0.999,Hepatitis B
ITGAV,TGFBR1,0.4,Hepatitis B
ITGAV,TGFBR2,0.434,Hepatitis B
ITGAV,LTBP3,0.575,Hepatitis B
ITGAV,ENG,0.624,Hepatitis B
ITGAV,LTBP1,0.671,Hepatitis B
LTBP3,LTBP4,0.728,Hepatitis B
LTBP3,LTBP1,0.774,Hepatitis B
LTBP4,TGFBR2,0.417,Hepatitis B
LTBP4,LTBP1,0.663,Hepatitis B
TGFBR2,LTBP1,0.463,Hepatitis B
TGFBR2,ENG,0.997,Hepatitis B
TGFBR2,TGFBR1,0.999,Hepatitis B
ENG,TGFBR1,0.969,Hepatitis B
LTBP1,TGFBR1,0.489,Hepatitis B
TNFRSF1A,IL6ST,0.62,Hepatitis C
TNFRSF1A,JAK2,0.702,Hepatitis C
TNFRSF1A,JAK1,0.704,Hepatitis C
TNFRSF1A,IL2,0.74,Hepatitis C
TNFRSF1A,IL6R,0.916,Hepatitis C
TNFRSF1A,IL1R1,0.921,Hepatitis C
TNFRSF1A,IL10,0.968,Hepatitis C
TNFRSF1A,IL6,0.997,Hepatitis C
TNFRSF1A,IL1B,0.997,Hepatitis C
IL2,IL1R1,0.749,Hepatitis C
IL2,IL6ST,0.77,Hepatitis C
IL2,JAK2,0.896,Hepatitis C
IL2,IL6R,0.9,Hepatitis C
IL2,IL10,0.964,Hepatitis C
IL2,JAK1,0.989,Hepatitis C
IL2,IL3,0.998,Hepatitis C
IL2,IL6,0.999,Hepatitis C
IL2,IL1B,0.999,Hepatitis C
IL1B,JAK1,0.644,Hepatitis C
IL1B,IL6ST,0.662,Hepatitis C
IL1B,JAK2,0.806,Hepatitis C
IL1B,IL6R,0.975,Hepatitis C
IL1B,IL3,0.977,Hepatitis C
IL1B,IL10,0.991,Hepatitis C
IL1B,IL6,0.996,Hepatitis C
IL1B,IL1R1,0.999,Hepatitis C
IL3,IL1R1,0.622,Hepatitis C
IL3,IL6R,0.778,Hepatitis C
IL3,IL10,0.781,Hepatitis C
IL3,IL6ST,0.808,Hepatitis C
IL3,JAK1,0.893,Hepatitis C
IL3,JAK2,0.978,Hepatitis C
IL3,IL6,0.998,Hepatitis C
IL6R,IL1R1,0.834,Hepatitis C
IL6R,IL10,0.923,Hepatitis C
IL6R,JAK2,0.963,Hepatitis C
IL6R,JAK1,0.986,Hepatitis C
IL6R,IL6ST,0.999,Hepatitis C
IL6R,IL6,0.999,Hepatitis C
IL6ST,IL1R1,0.608,Hepatitis C
IL6ST,IL10,0.81,Hepatitis C
IL6ST,JAK2,0.993,Hepatitis C
IL6ST,JAK1,0.998,Hepatitis C
IL6ST,IL6,0.999,Hepatitis C
JAK2,IL1R1,0.436,Hepatitis C
JAK2,IL10,0.838,Hepatitis C
JAK2,IL6,0.995,Hepatitis C
JAK2,JAK1,0.999,Hepatitis C
IL6,JAK1,0.996,Hepatitis C
IL6,IL1R1,0.997,Hepatitis C
IL6,IL10,0.997,Hepatitis C
IL1R1,JAK1,0.432,Hepatitis C
IL1R1,IL10,0.917,Hepatitis C
IL10,JAK1,0.976,Hepatitis C
PIK3R2,KRAS,0.946,Hepatitis D
PIK3R2,AKT1,0.971,Hepatitis D
PIK3R2,PIK3R5,0.98,Hepatitis D
PIK3R2,IRS1,0.99,Hepatitis D
PIK3R2,EGFR,0.993,Hepatitis D
PIK3R2,PIK3R3,0.999,Hepatitis D
PIK3R2,PIK3R1,0.999,Hepatitis D
PIK3R2,PIK3CB,0.999,Hepatitis D
PIK3R2,PIK3CD,0.999,Hepatitis D
PIK3R2,PIK3CA,0.999,Hepatitis D
KRAS,IRS1,0.689,Hepatitis D
KRAS,AKT1,0.904,Hepatitis D
KRAS,PIK3R5,0.921,Hepatitis D
KRAS,PIK3R3,0.952,Hepatitis D
KRAS,PIK3R1,0.963,Hepatitis D
KRAS,PIK3CB,0.973,Hepatitis D
KRAS,PIK3CD,0.974,Hepatitis D
KRAS,EGFR,0.997,Hepatitis D
KRAS,PIK3CA,0.998,Hepatitis D
PIK3R3,AKT1,0.962,Hepatitis D
PIK3R3,PIK3R5,0.981,Hepatitis D
PIK3R3,EGFR,0.99,Hepatitis D
PIK3R3,IRS1,0.997,Hepatitis D
PIK3R3,PIK3R1,0.997,Hepatitis D
PIK3R3,PIK3CA,0.999,Hepatitis D
PIK3R3,PIK3CD,0.999,Hepatitis D
PIK3R3,PIK3CB,0.999,Hepatitis D
PIK3CA,PIK3CD,0.998,Hepatitis D
PIK3CA,PIK3CB,0.998,Hepatitis D
PIK3CA,AKT1,0.998,Hepatitis D
PIK3CA,PIK3R5,0.999,Hepatitis D
PIK3CA,IRS1,0.999,Hepatitis D
PIK3CA,EGFR,0.999,Hepatitis D
PIK3CA,PIK3R1,0.999,Hepatitis D
EGFR,AKT1,0.792,Hepatitis D
EGFR,IRS1,0.939,Hepatitis D
EGFR,PIK3CD,0.942,Hepatitis D
EGFR,PIK3CB,0.993,Hepatitis D
EGFR,PIK3R1,0.998,Hepatitis D
IRS1,PIK3R5,0.924,Hepatitis D
IRS1,PIK3CD,0.943,Hepatitis D
IRS1,AKT1,0.972,Hepatitis D
IRS1,PIK3CB,0.991,Hepatitis D
IRS1,PIK3R1,0.999,Hepatitis D
PIK3CD,AKT1,0.976,Hepatitis D
PIK3CD,PIK3CB,0.998,Hepatitis D
PIK3CD,PIK3R5,0.999,Hepatitis D
PIK3CD,PIK3R1,0.999,Hepatitis D
PIK3R5,AKT1,0.945,Hepatitis D
PIK3R5,PIK3R1,0.966,Hepatitis D
PIK3R5,PIK3CB,0.999,Hepatitis D
PIK3R1,AKT1,0.995,Hepatitis D
PIK3R1,PIK3CB,0.999,Hepatitis D
AKT1,PIK3CB,0.992,Hepatitis D
SIRT1,RPA1,0.412,Hepatitis E
SIRT1,MDM2,0.699,Hepatitis E
SIRT1,CREBBP,0.754,Hepatitis E
SIRT1,HSP90AA1,0.803,Hepatitis E
SIRT1,ATM,0.856,Hepatitis E
SIRT1,EP300,0.972,Hepatitis E
SIRT1,TP53,0.999,Hepatitis E
RPA1,EP300,0.466,Hepatitis E
RPA1,ATM,0.928,Hepatitis E
RPA1,TP53,0.999,Hepatitis E
MDM2,CREBBP,0.909,Hepatitis E
MDM2,HSP90AA1,0.909,Hepatitis E
MDM2,SFN,0.989,Hepatitis E
MDM2,ATM,0.995,Hepatitis E
MDM2,DAXX,0.995,Hepatitis E
MDM2,EP300,0.999,Hepatitis E
MDM2,TP53,0.999,Hepatitis E
CREBBP,HSP90AA1,0.415,Hepatitis E
CREBBP,ATM,0.497,Hepatitis E
CREBBP,DAXX,0.842,Hepatitis E
CREBBP,TP53,0.999,Hepatitis E
CREBBP,EP300,0.999,Hepatitis E
EP300,TP53BP2,0.413,Hepatitis E
EP300,HSP90AA1,0.809,Hepatitis E
EP300,ATM,0.904,Hepatitis E
EP300,TP53,0.999,Hepatitis E
DAXX,ATM,0.813,Hepatitis E
DAXX,TP53,0.999,Hepatitis E
TP53,SFN,0.999,Hepatitis E
TP53,HSP90AA1,0.999,Hepatitis E
TP53,ATM,0.999,Hepatitis E
TP53,TP53BP2,0.999,Hepatitis E
ATM,SFN,0.604,Hepatitis E
ATM,HSP90AA1,0.785,Hepatitis E
HSP90AA1,SFN,0.45,Hepatitis E
CD4,CD2,0.996,Liver Tuberculosis
CD4,ERVW-1,0.996,Liver Tuberculosis
CD4,HLA-DRA,0.997,Liver Tuberculosis
CD4,CD5,0.997,Liver Tuberculosis
CD4,IL16,0.998,Liver Tuberculosis
CD4,LCK,0.999,Liver Tuberculosis
CD4,CCR5,0.999,Liver Tuberculosis
CD4,CD8A,0.999,Liver Tuberculosis
CD4,ITIH4,0.999,Liver Tuberculosis
CD4,CXCR4,0.999,Liver Tuberculosis
ITIH4,LCK,0.403,Liver Tuberculosis
ITIH4,CD2,0.546,Liver Tuberculosis
ITIH4,CD8A,0.85,Liver Tuberculosis
ITIH4,ERVW-1,0.993,Liver Tuberculosis
ITIH4,CXCR4,0.999,Liver Tuberculosis
ITIH4,CCR5,0.999,Liver Tuberculosis
CCR5,HLA-DRA,0.637,Liver Tuberculosis
CCR5,LCK,0.638,Liver Tuberculosis
CCR5,CD2,0.81,Liver Tuberculosis
CCR5,IL16,0.849,Liver Tuberculosis
CCR5,CD8A,0.941,Liver Tuberculosis
CCR5,ERVW-1,0.996,Liver Tuberculosis
CCR5,CXCR4,0.996,Liver Tuberculosis
IL16,CD8A,0.669,Liver Tuberculosis
CD5,CXCR4,0.53,Liver Tuberculosis
CD5,ERVW-1,0.555,Liver Tuberculosis
CD5,LCK,0.957,Liver Tuberculosis
CD5,CD8A,0.963,Liver Tuberculosis
CD5,CD2,0.994,Liver Tuberculosis
CD2,HLA-DRA,0.662,Liver Tuberculosis
CD2,CXCR4,0.673,Liver Tuberculosis
CD2,LCK,0.986,Liver Tuberculosis
CD2,CD8A,0.998,Liver Tuberculosis
HLA-DRA,CD8A,0.617,Liver Tuberculosis
HLA-DRA,LCK,0.768,Liver Tuberculosis
CD8A,ERVW-1,0.806,Liver Tuberculosis
CD8A,CXCR4,0.903,Liver Tuberculosis
CD8A,LCK,0.999,Liver Tuberculosis
CXCR4,LCK,0.574,Liver Tuberculosis
CXCR4,ERVW-1,0.994,Liver Tuberculosis
ERVW-1,LCK,0.559,Liver Tuberculosis
CD4,CCL8,0.541,Schistosomiasis-Related Liver Disease
CD4,CCL3L1,0.66,Schistosomiasis-Related Liver Disease
CD4,CCR1,0.708,Schistosomiasis-Related Liver Disease
CD4,CCL2,0.839,Schistosomiasis-Related Liver Disease
CD4,CXCL10,0.839,Schistosomiasis-Related Liver Disease
CD4,CCL3,0.88,Schistosomiasis-Related Liver Disease
CD4,CCL5,0.887,Schistosomiasis-Related Liver Disease
CD4,CCL4,0.939,Schistosomiasis-Related Liver Disease
CCL2,ITIH4,0.476,Schistosomiasis-Related Liver Disease
CCL2,CCL3,0.576,Schistosomiasis-Related Liver Disease
CCL2,CCL3L1,0.718,Schistosomiasis-Related Liver Disease
CCL2,CCL4,0.787,Schistosomiasis-Related Liver Disease
CCL2,CXCL10,0.965,Schistosomiasis-Related Liver Disease
CCL2,CCL5,0.999,Schistosomiasis-Related Liver Disease
CCL2,CCL8,0.999,Schistosomiasis-Related Liver Disease
CCL2,CCR5,0.999,Schistosomiasis-Related Liver Disease
CCL2,CCR1,0.999,Schistosomiasis-Related Liver Disease
ITIH4,CCR1,0.591,Schistosomiasis-Related Liver Disease
ITIH4,CCL3,0.789,Schistosomiasis-Related Liver Disease
ITIH4,CCL5,0.827,Schistosomiasis-Related Liver Disease
ITIH4,CCL4,0.836,Schistosomiasis-Related Liver Disease
CCR5,CCR1,0.998,Schistosomiasis-Related Liver Disease
CCR5,CCL3L1,0.999,Schistosomiasis-Related Liver Disease
CCR5,CCL8,0.999,Schistosomiasis-Related Liver Disease
CCR5,CCL5,0.999,Schistosomiasis-Related Liver Disease
CCR5,CCL4,0.999,Schistosomiasis-Related Liver Disease
CCR5,CCL3,0.999,Schistosomiasis-Related Liver Disease
CCR5,CXCL10,0.999,Schistosomiasis-Related Liver Disease
CCR1,CXCL10,0.994,Schistosomiasis-Related Liver Disease
CCR1,CCL3L1,0.998,Schistosomiasis-Related Liver Disease
CCR1,CCL4,0.999,Schistosomiasis-Related Liver Disease
CCR1,CCL3,0.999,Schistosomiasis-Related Liver Disease
CCR1,CCL5,0.999,Schistosomiasis-Related Liver Disease
CCR1,CCL8,0.999,Schistosomiasis-Related Liver Disease
CXCL10,CCL3L1,0.81,Schistosomiasis-Related Liver Disease
CXCL10,CCL3,0.951,Schistosomiasis-Related Liver Disease
CXCL10,CCL4,0.959,Schistosomiasis-Related Liver Disease
CXCL10,CCL5,0.999,Schistosomiasis-Related Liver Disease
CXCL10,CCL8,0.999,Schistosomiasis-Related Liver Disease
CCL8,CCL3L1,0.558,Schistosomiasis-Related Liver Disease
CCL8,CCL3,0.655,Schistosomiasis-Related Liver Disease
CCL8,CCL5,0.995,Schistosomiasis-Related Liver Disease
CCL5,CCL3L1,0.854,Schistosomiasis-Related Liver Disease
CCL5,CCL3,0.913,Schistosomiasis-Related Liver Disease
CCL5,CCL4,0.953,Schistosomiasis-Related Liver Disease
CCL3,CCL3L1,0.992,Schistosomiasis-Related Liver Disease
CCL3,CCL4,0.997,Schistosomiasis-Related Liver Disease
CCL3L1,CCL4,0.865,Schistosomiasis-Related Liver Disease
CD80,LGALS9,0.634,Echinococcosis
CD80,LOC102723996,0.762,Echinococcosis
CD80,ICOSLG,0.776,Echinococcosis
CD80,PDCD1LG2,0.993,Echinococcosis
CD80,ICOS,0.997,Echinococcosis
CD80,PDCD1,0.998,Echinococcosis
CD80,CTLA4,0.999,Echinococcosis
CD80,CD86,0.999,Echinococcosis
CD80,CD274,0.999,Echinococcosis
CD80,CD28,0.999,Echinococcosis
ICOS,LGALS9,0.719,Echinococcosis
ICOS,PDCD1,0.941,Echinococcosis
ICOS,PDCD1LG2,0.972,Echinococcosis
ICOS,CD28,0.979,Echinococcosis
ICOS,CD274,0.995,Echinococcosis
ICOS,CD86,0.996,Echinococcosis
ICOS,CTLA4,0.998,Echinococcosis
ICOS,ICOSLG,0.999,Echinococcosis
ICOS,LOC102723996,0.999,Echinococcosis
CD28,LGALS9,0.62,Echinococcosis
CD28,PDCD1,0.936,Echinococcosis
CD28,PDCD1LG2,0.976,Echinococcosis
CD28,CTLA4,0.991,Echinococcosis
CD28,ICOSLG,0.997,Echinococcosis
CD28,CD274,0.997,Echinococcosis
CD28,LOC102723996,0.999,Echinococcosis
CD28,CD86,0.999,Echinococcosis
CD86,ICOSLG,0.596,Echinococcosis
CD86,LOC102723996,0.603,Echinococcosis
CD86,LGALS9,0.766,Echinococcosis
CD86,PDCD1LG2,0.972,Echinococcosis
CD86,CD274,0.972,Echinococcosis
CD86,PDCD1,0.996,Echinococcosis
CD86,CTLA4,0.999,Echinococcosis
PDCD1,LOC102723996,0.887,Echinococcosis
PDCD1,ICOSLG,0.89,Echinococcosis
PDCD1,LGALS9,0.969,Echinococcosis
PDCD1,CTLA4,0.992,Echinococcosis
PDCD1,CD274,0.999,Echinococcosis
PDCD1,PDCD1LG2,0.999,Echinococcosis
ICOSLG,LGALS9,0.515,Echinococcosis
ICOSLG,PDCD1LG2,0.742,Echinococcosis
ICOSLG,CD274,0.806,Echinococcosis
ICOSLG,LOC102723996,0.847,Echinococcosis
ICOSLG,CTLA4,0.992,Echinococcosis
CD274,LOC102723996,0.801,Echinococcosis
CD274,LGALS9,0.896,Echinococcosis
CD274,PDCD1LG2,0.996,Echinococcosis
CD274,CTLA4,0.999,Echinococcosis
LGALS9,LOC102723996,0.516,Echinococcosis
LGALS9,PDCD1LG2,0.807,Echinococcosis
LGALS9,CTLA4,0.991,Echinococcosis
PDCD1LG2,LOC102723996,0.74,Echinococcosis
PDCD1LG2,CTLA4,0.998,Echinococcosis
LOC102723996,CTLA4,0.999,Echinococcosis
CD4,PTPN6,0.704,Brucellosis-Associated Hepatitis
CD4,LGALS9,0.728,Brucellosis-Associated Hepatitis
CD4,PTPN11,0.783,Brucellosis-Associated Hepatitis
CD4,LAG3,0.914,Brucellosis-Associated Hepatitis
CD4,CD274,0.938,Brucellosis-Associated Hepatitis
CD4,PDCD1LG2,0.945,Brucellosis-Associated Hepatitis
CD4,CTLA4,0.955,Brucellosis-Associated Hepatitis
CD4,CD80,0.958,Brucellosis-Associated Hepatitis
CD4,CD86,0.958,Brucellosis-Associated Hepatitis
CD4,PDCD1,0.96,Brucellosis-Associated Hepatitis
LAG3,PTPN11,0.434,Brucellosis-Associated Hepatitis
LAG3,PDCD1LG2,0.872,Brucellosis-Associated Hepatitis
LAG3,PDCD1,0.95,Brucellosis-Associated Hepatitis
LAG3,CTLA4,0.965,Brucellosis-Associated Hepatitis
LAG3,CD274,0.976,Brucellosis-Associated Hepatitis
LAG3,CD86,0.979,Brucellosis-Associated Hepatitis
LAG3,CD80,0.99,Brucellosis-Associated Hepatitis
LAG3,LGALS9,0.993,Brucellosis-Associated Hepatitis
CD80,PTPN11,0.699,Brucellosis-Associated Hepatitis
CD86,PTPN11,0.672,Brucellosis-Associated Hepatitis
PDCD1,PTPN6,0.961,Brucellosis-Associated Hepatitis
PDCD1,PTPN11,0.998,Brucellosis-Associated Hepatitis
CD274,PTPN6,0.619,Brucellosis-Associated Hepatitis
CD274,PTPN11,0.95,Brucellosis-Associated Hepatitis
LGALS9,PTPN11,0.56,Brucellosis-Associated Hepatitis
PDCD1LG2,PTPN6,0.587,Brucellosis-Associated Hepatitis
PDCD1LG2,PTPN11,0.846,Brucellosis-Associated Hepatitis
PTPN6,PTPN11,0.95,Brucellosis-Associated Hepatitis
PTPN6,CTLA4,0.954,Brucellosis-Associated Hepatitis
PTPN11,CTLA4,0.991,Brucellosis-Associated Hepatitis
CD4,IFNGR2,0.465,Yellow Fever
CD4,JAK2,0.635,Yellow Fever
CD4,IFNGR1,0.739,Yellow Fever
CD4,JAK1,0.74,Yellow Fever
CD4,IL1B,0.958,Yellow Fever
CD4,TNF,0.968,Yellow Fever
CD4,IL4,0.97,Yellow Fever
CD4,IL2,0.975,Yellow Fever
CD4,IL10,0.976,Yellow Fever
CD4,IFNG,0.991,Yellow Fever
IL2,IFNGR1,0.863,Yellow Fever
IL2,TNF,0.957,Yellow Fever
IL2,IFNG,0.99,Yellow Fever
IL2,IL4,0.999,Yellow Fever
IFNG,IL4,0.99,Yellow Fever
IFNG,TNF,0.991,Yellow Fever
IFNG,JAK1,0.993,Yellow Fever
IFNG,IL10,0.995,Yellow Fever
IFNG,JAK2,0.998,Yellow Fever
IFNG,IL1B,0.998,Yellow Fever
IFNG,IFNGR1,0.999,Yellow Fever
IFNG,IFNGR2,0.999,Yellow Fever
IL4,JAK2,0.856,Yellow Fever
IL4,IFNGR1,0.892,Yellow Fever
IL4,TNF,0.977,Yellow Fever
IL4,IL10,0.986,Yellow Fever
IL4,JAK1,0.997,Yellow Fever
IL4,IL1B,0.998,Yellow Fever
IL1B,IFNGR2,0.443,Yellow Fever
IL1B,IFNGR1,0.531,Yellow Fever
IL1B,TNF,0.998,Yellow Fever
IFNGR1,TNF,0.772,Yellow Fever
IFNGR1,IL10,0.92,Yellow Fever
IFNGR1,IFNGR2,0.999,Yellow Fever
IFNGR1,JAK2,0.999,Yellow Fever
IFNGR1,JAK1,0.999,Yellow Fever
JAK2,TNF,0.801,Yellow Fever
JAK2,IFNGR2,0.999,Yellow Fever
IFNGR2,IL10,0.445,Yellow Fever
IFNGR2,TNF,0.476,Yellow Fever
IFNGR2,JAK1,0.998,Yellow Fever
TNF,JAK1,0.828,Yellow Fever
TNF,IL10,0.992,Yellow Fever
BCL3,TNF,0.54,Cytomegalovirus Hepatitis
BCL3,IKBKB,0.611,Cytomegalovirus Hepatitis
BCL3,IKBKG,0.69,Cytomegalovirus Hepatitis
BCL3,CHUK,0.701,Cytomegalovirus Hepatitis
BCL3,NFKBIA,0.904,Cytomegalovirus Hepatitis
BCL3,RELA,0.951,Cytomegalovirus Hepatitis
BCL3,REL,0.952,Cytomegalovirus Hepatitis
BCL3,RELB,0.959,Cytomegalovirus Hepatitis
BCL3,NFKB1,0.999,Cytomegalovirus Hepatitis
BCL3,NFKB2,0.999,Cytomegalovirus Hepatitis
NFKBIA,TNF,0.967,Cytomegalovirus Hepatitis
NFKBIA,NFKB2,0.995,Cytomegalovirus Hepatitis
NFKBIA,RELB,0.995,Cytomegalovirus Hepatitis
NFKBIA,IKBKG,0.999,Cytomegalovirus Hepatitis
NFKBIA,REL,0.999,Cytomegalovirus Hepatitis
NFKBIA,CHUK,0.999,Cytomegalovirus Hepatitis
NFKBIA,IKBKB,0.999,Cytomegalovirus Hepatitis
NFKBIA,NFKB1,0.999,Cytomegalovirus Hepatitis
NFKBIA,RELA,0.999,Cytomegalovirus Hepatitis
RELB,TNF,0.749,Cytomegalovirus Hepatitis
RELB,IKBKG,0.85,Cytomegalovirus Hepatitis
RELB,IKBKB,0.886,Cytomegalovirus Hepatitis
RELB,CHUK,0.995,Cytomegalovirus Hepatitis
RELB,REL,0.998,Cytomegalovirus Hepatitis
RELB,NFKB2,0.999,Cytomegalovirus Hepatitis
RELB,RELA,0.999,Cytomegalovirus Hepatitis
RELB,NFKB1,0.999,Cytomegalovirus Hepatitis
NFKB1,IKBKB,0.999,Cytomegalovirus Hepatitis
NFKB1,REL,0.999,Cytomegalovirus Hepatitis
NFKB1,RELA,0.999,Cytomegalovirus Hepatitis
NFKB1,IKBKG,0.999,Cytomegalovirus Hepatitis
NFKB1,NFKB2,0.999,Cytomegalovirus Hepatitis
REL,IKBKG,0.899,Cytomegalovirus Hepatitis
REL,TNF,0.899,Cytomegalovirus Hepatitis
REL,IKBKB,0.956,Cytomegalovirus Hepatitis
REL,CHUK,0.967,Cytomegalovirus Hepatitis
REL,NFKB2,0.999,Cytomegalovirus Hepatitis
REL,RELA,0.999,Cytomegalovirus Hepatitis
NFKB2,TNF,0.772,Cytomegalovirus Hepatitis
NFKB2,IKBKG,0.944,Cytomegalovirus Hepatitis
NFKB2,IKBKB,0.955,Cytomegalovirus Hepatitis
NFKB2,CHUK,0.998,Cytomegalovirus Hepatitis
NFKB2,RELA,0.999,Cytomegalovirus Hepatitis
CHUK,RELA,0.999,Cytomegalovirus Hepatitis
CHUK,IKBKB,0.999,Cytomegalovirus Hepatitis
CHUK,IKBKG,0.999,Cytomegalovirus Hepatitis
RELA,IKBKG,0.996,Cytomegalovirus Hepatitis
RELA,TNF,0.997,Cytomegalovirus Hepatitis
RELA,IKBKB,0.999,Cytomegalovirus Hepatitis
TNF,IKBKB,0.999,Cytomegalovirus Hepatitis
TNF,IKBKG,0.999,Cytomegalovirus Hepatitis
IKBKB,IKBKG,0.999,Cytomegalovirus Hepatitis
MAPK1,DUSP1,0.996,Herpes Simplex Virus Hepatitis
MAPK1,STAT3,0.996,Herpes Simplex Virus Hepatitis
MAPK1,PTPN7,0.998,Herpes Simplex Virus Hepatitis
MAPK1,PEA15,0.998,Herpes Simplex Virus Hepatitis
MAPK1,TP53,0.998,Herpes Simplex Virus Hepatitis
MAPK1,JUN,0.998,Herpes Simplex Virus Hepatitis
MAPK1,MAP2K1,0.999,Herpes Simplex Virus Hepatitis
MAPK1,RPS6KA1,0.999,Herpes Simplex Virus Hepatitis
MAPK1,MAP2K2,0.999,Herpes Simplex Virus Hepatitis
MAPK1,MKNK1,0.999,Herpes Simplex Virus Hepatitis
DUSP1,PTPN7,0.442,Herpes Simplex Virus Hepatitis
DUSP1,STAT3,0.45,Herpes Simplex Virus Hepatitis
DUSP1,TP53,0.516,Herpes Simplex Virus Hepatitis
DUSP1,MAP2K1,0.699,Herpes Simplex Virus Hepatitis
DUSP1,JUN,0.911,Herpes Simplex Virus Hepatitis
MAP2K2,TP53,0.426,Herpes Simplex Virus Hepatitis
MAP2K2,MKNK1,0.461,Herpes Simplex Virus Hepatitis
MAP2K2,JUN,0.59,Herpes Simplex Virus Hepatitis
MAP2K2,MAP2K1,0.996,Herpes Simplex Virus Hepatitis
STAT3,RPS6KA1,0.606,Herpes Simplex Virus Hepatitis
STAT3,MAP2K1,0.669,Herpes Simplex Virus Hepatitis
STAT3,TP53,0.994,Herpes Simplex Virus Hepatitis
STAT3,JUN,0.995,Herpes Simplex Virus Hepatitis
TP53,MAP2K1,0.667,Herpes Simplex Virus Hepatitis
TP53,RPS6KA1,0.687,Herpes Simplex Virus Hepatitis
