protein1,protein2,score,disease
CD44,SELL,0.998,Unknown Hepatic Disease
RDX,SELL,0.858,Unknown Hepatic Disease
AURKA,AURKB,0.922,Unknown Hepatic Disease
AURKA,BUB1B,0.924,Unknown Hepatic Disease
AURKA,CDK1,0.951,Unknown Hepatic Disease
AURKA,CDCA8,0.952,Unknown Hepatic Disease
AURKA,CCNB1,0.979,Unknown Hepatic Disease
AURKA,UBE2C,0.986,Unknown Hepatic Disease
AURKA,CCNB2,0.988,Unknown Hepatic Disease
AURKA,BIRC5,0.993,Unknown Hepatic Disease
AURKA,INCENP,0.994,Unknown Hepatic Disease
AURKA,CDC20,0.995,Unknown Hepatic Disease
CCNB1,INCENP,0.774,Unknown Hepatic Disease
CCNB1,AURKB,0.962,Unknown Hepatic Disease
CCNB1,CDCA8,0.987,Unknown Hepatic Disease
CCNB1,UBE2C,0.99,Unknown Hepatic Disease
CCNB1,BIRC5,0.993,Unknown Hepatic Disease
CCNB1,CCNB2,0.998,Unknown Hepatic Disease
CCNB1,BUB1B,0.998,Unknown Hepatic Disease
CCNB1,CDC20,0.999,Unknown Hepatic Disease
CCNB1,CDK1,0.999,Unknown Hepatic Disease
BUB1B,INCENP,0.912,Unknown Hepatic Disease
BUB1B,BIRC5,0.987,Unknown Hepatic Disease
BUB1B,UBE2C,0.991,Unknown Hepatic Disease
BUB1B,CCNB2,0.993,Unknown Hepatic Disease
BUB1B,CDCA8,0.994,Unknown Hepatic Disease
BUB1B,AURKB,0.999,Unknown Hepatic Disease
BUB1B,CDC20,0.999,Unknown Hepatic Disease
BUB1B,CDK1,0.999,Unknown Hepatic Disease
CCNB2,INCENP,0.684,Unknown Hepatic Disease
CCNB2,UBE2C,0.968,Unknown Hepatic Disease
CCNB2,CDCA8,0.974,Unknown Hepatic Disease
CCNB2,AURKB,0.99,Unknown Hepatic Disease
CCNB2,BIRC5,0.993,Unknown Hepatic Disease
CCNB2,CDK1,0.999,Unknown Hepatic Disease
CCNB2,CDC20,0.999,Unknown Hepatic Disease
BIRC5,UBE2C,0.992,Unknown Hepatic Disease
BIRC5,CDC20,0.995,Unknown Hepatic Disease
BIRC5,CDK1,0.997,Unknown Hepatic Disease
BIRC5,AURKB,0.999,Unknown Hepatic Disease
BIRC5,INCENP,0.999,Unknown Hepatic Disease
BIRC5,CDCA8,0.999,Unknown Hepatic Disease
AURKB,UBE2C,0.955,Unknown Hepatic Disease
AURKB,CDK1,0.997,Unknown Hepatic Disease
AURKB,CDC20,0.998,Unknown Hepatic Disease
AURKB,INCENP,0.999,Unknown Hepatic Disease
AURKB,CDCA8,0.999,Unknown Hepatic Disease
UBE2C,INCENP,0.425,Unknown Hepatic Disease
UBE2C,CDCA8,0.966,Unknown Hepatic Disease
UBE2C,CDK1,0.982,Unknown Hepatic Disease
UBE2C,CDC20,0.999,Unknown Hepatic Disease
CDC20,INCENP,0.964,Unknown Hepatic Disease
CDC20,CDCA8,0.992,Unknown Hepatic Disease
CDC20,CDK1,0.999,Unknown Hepatic Disease
CDCA8,CDK1,0.99,Unknown Hepatic Disease
CDCA8,INCENP,0.999,Unknown Hepatic Disease
INCENP,CDK1,0.947,Unknown Hepatic Disease
GCK,FOXA2,0.424,Unknown Hepatic Disease
GCK,ONECUT1,0.543,Unknown Hepatic Disease
GCK,HNF4A,0.739,Unknown Hepatic Disease
GCK,HNF1B,0.759,Unknown Hepatic Disease
GCK,HNF1A,0.901,Unknown Hepatic Disease
GCK,SLC2A2,0.961,Unknown Hepatic Disease
PCBD1,ONECUT1,0.439,Unknown Hepatic Disease
PCBD1,FOXA2,0.442,Unknown Hepatic Disease
PCBD1,HNF1B,0.892,Unknown Hepatic Disease
PCBD1,PCBD2,0.959,Unknown Hepatic Disease
PCBD1,HNF1A,0.995,Unknown Hepatic Disease
ONECUT1,SLC2A2,0.595,Unknown Hepatic Disease
ONECUT1,FOXA3,0.615,Unknown Hepatic Disease
ONECUT1,HNF4G,0.68,Unknown Hepatic Disease
ONECUT1,HNF4A,0.867,Unknown Hepatic Disease
ONECUT1,HNF1A,0.916,Unknown Hepatic Disease
ONECUT1,HNF1B,0.956,Unknown Hepatic Disease
ONECUT1,FOXA2,0.963,Unknown Hepatic Disease
FOXA3,HNF1B,0.55,Unknown Hepatic Disease
FOXA3,HNF4G,0.561,Unknown Hepatic Disease
FOXA3,HNF4A,0.667,Unknown Hepatic Disease
FOXA3,HNF1A,0.93,Unknown Hepatic Disease
HNF4A,SLC2A2,0.663,Unknown Hepatic Disease
HNF4A,HNF1B,0.851,Unknown Hepatic Disease
HNF4A,FOXA2,0.862,Unknown Hepatic Disease
HNF4A,HNF1A,0.988,Unknown Hepatic Disease
SLC2A2,HNF1B,0.457,Unknown Hepatic Disease
SLC2A2,FOXA2,0.688,Unknown Hepatic Disease
SLC2A2,HNF1A,0.954,Unknown Hepatic Disease
FOXA2,HNF1B,0.637,Unknown Hepatic Disease
FOXA2,HNF4G,0.777,Unknown Hepatic Disease
FOXA2,HNF1A,0.899,Unknown Hepatic Disease
PCBD2,HNF1B,0.641,Unknown Hepatic Disease
PCBD2,HNF1A,0.944,Unknown Hepatic Disease
HNF1A,HNF4G,0.943,Unknown Hepatic Disease
HNF1A,HNF1B,0.961,Unknown Hepatic Disease
CEACAM5,TTR,0.418,Unknown Hepatic Disease
CEACAM5,GPC3,0.603,Unknown Hepatic Disease
CEACAM5,F2,0.654,Unknown Hepatic Disease
CEACAM5,SERPINA1,0.693,Unknown Hepatic Disease
CEACAM5,GPT,0.728,Unknown Hepatic Disease
CEACAM5,ALB,0.728,Unknown Hepatic Disease
CEACAM5,KRT19,0.877,Unknown Hepatic Disease
CEACAM5,AFP,0.941,Unknown Hepatic Disease
TTR,KRT19,0.416,Unknown Hepatic Disease
TTR,GPT,0.633,Unknown Hepatic Disease
TTR,F2,0.724,Unknown Hepatic Disease
TTR,APOA2,0.843,Unknown Hepatic Disease
TTR,AFP,0.888,Unknown Hepatic Disease
AHSG,GPT,0.418,Unknown Hepatic Disease
AHSG,GPC3,0.57,Unknown Hepatic Disease
AHSG,AFP,0.92,Unknown Hepatic Disease
AHSG,APOA2,0.943,Unknown Hepatic Disease
AHSG,F2,0.98,Unknown Hepatic Disease
ALB,GPC3,0.491,Unknown Hepatic Disease
ALB,KRT19,0.687,Unknown Hepatic Disease
ALB,AFP,0.927,Unknown Hepatic Disease
ALB,GPT,0.928,Unknown Hepatic Disease
ALB,APOA2,0.962,Unknown Hepatic Disease
ALB,F2,0.99,Unknown Hepatic Disease
F2,GPC3,0.592,Unknown Hepatic Disease
F2,SERPINA1,0.79,Unknown Hepatic Disease
F2,APOA2,0.798,Unknown Hepatic Disease
F2,GPT,0.918,Unknown Hepatic Disease
F2,AFP,0.973,Unknown Hepatic Disease
KRT19,SERPINA1,0.486,Unknown Hepatic Disease
KRT19,GPT,0.501,Unknown Hepatic Disease
KRT19,GPC3,0.785,Unknown Hepatic Disease
KRT19,AFP,0.86,Unknown Hepatic Disease
APOA2,GPC3,0.646,Unknown Hepatic Disease
APOA2,SERPINA1,0.822,Unknown Hepatic Disease
APOA2,AFP,0.905,Unknown Hepatic Disease
GPC3,AFP,0.927,Unknown Hepatic Disease
GPT,SERPINA1,0.571,Unknown Hepatic Disease
GPT,AFP,0.894,Unknown Hepatic Disease
AFP,SERPINA1,0.927,Unknown Hepatic Disease
CSF3,BCL2,0.513,Unknown Hepatic Disease
CSF3,FN1,0.514,Unknown Hepatic Disease
CSF3,SELL,0.531,Unknown Hepatic Disease
CSF3,PECAM1,0.57,Unknown Hepatic Disease
CSF3,CD33,0.628,Unknown Hepatic Disease
CSF3,KIT,0.661,Unknown Hepatic Disease
CSF3,SELE,0.716,Unknown Hepatic Disease
CSF3,CD38,0.792,Unknown Hepatic Disease
CSF3,KITLG,0.876,Unknown Hepatic Disease
CSF3,CD34,0.94,Unknown Hepatic Disease
CD38,FN1,0.412,Unknown Hepatic Disease
CD38,SELE,0.636,Unknown Hepatic Disease
CD38,SELL,0.7,Unknown Hepatic Disease
CD38,KIT,0.722,Unknown Hepatic Disease
CD38,BCL2,0.724,Unknown Hepatic Disease
CD38,KITLG,0.786,Unknown Hepatic Disease
CD38,CD33,0.823,Unknown Hepatic Disease
CD38,CD34,0.964,Unknown Hepatic Disease
CD38,PECAM1,0.992,Unknown Hepatic Disease
CD33,BCL2,0.488,Unknown Hepatic Disease
CD33,PECAM1,0.511,Unknown Hepatic Disease
CD33,KITLG,0.57,Unknown Hepatic Disease
CD33,SELE,0.649,Unknown Hepatic Disease
CD33,SELL,0.694,Unknown Hepatic Disease
CD33,KIT,0.898,Unknown Hepatic Disease
CD33,CD34,0.951,Unknown Hepatic Disease
KIT,SELL,0.515,Unknown Hepatic Disease
KIT,BCL2,0.707,Unknown Hepatic Disease
KIT,PECAM1,0.774,Unknown Hepatic Disease
KIT,FN1,0.776,Unknown Hepatic Disease
KIT,CD34,0.956,Unknown Hepatic Disease
CD34,KITLG,0.934,Unknown Hepatic Disease
CD34,PECAM1,0.94,Unknown Hepatic Disease
CD34,BCL2,0.945,Unknown Hepatic Disease
CD34,SELE,0.953,Unknown Hepatic Disease
CD34,FN1,0.96,Unknown Hepatic Disease
CD34,SELL,0.999,Unknown Hepatic Disease
SELE,BCL2,0.54,Unknown Hepatic Disease
SELE,PECAM1,0.959,Unknown Hepatic Disease
FN1,KITLG,0.589,Unknown Hepatic Disease
FN1,PECAM1,0.748,Unknown Hepatic Disease
FN1,BCL2,0.785,Unknown Hepatic Disease
BCL2,KITLG,0.488,Unknown Hepatic Disease
BCL2,SELL,0.497,Unknown Hepatic Disease
BCL2,PECAM1,0.752,Unknown Hepatic Disease
PECAM1,KITLG,0.541,Unknown Hepatic Disease
PECAM1,SELL,0.797,Unknown Hepatic Disease
CEACAM5,PROM1,0.404,Unknown Hepatic Disease
CEACAM5,KRT18,0.493,Unknown Hepatic Disease
CEACAM5,KRT8,0.528,Unknown Hepatic Disease
CEACAM5,EPCAM,0.757,Unknown Hepatic Disease
CEACAM5,C17orf97,0.788,Unknown Hepatic Disease
CEACAM5,ENO2,0.919,Unknown Hepatic Disease
EPCAM,DSP,0.414,Unknown Hepatic Disease
EPCAM,C17orf97,0.542,Unknown Hepatic Disease
EPCAM,AFP,0.679,Unknown Hepatic Disease
EPCAM,GPC3,0.747,Unknown Hepatic Disease
EPCAM,KRT18,0.789,Unknown Hepatic Disease
EPCAM,KRT8,0.845,Unknown Hepatic Disease
EPCAM,PROM1,0.864,Unknown Hepatic Disease
EPCAM,KRT19,0.888,Unknown Hepatic Disease
C17orf97,GPC3,0.575,Unknown Hepatic Disease
C17orf97,AFP,0.621,Unknown Hepatic Disease
C17orf97,ENO2,0.704,Unknown Hepatic Disease
C17orf97,KRT8,0.72,Unknown Hepatic Disease
C17orf97,KRT18,0.801,Unknown Hepatic Disease
C17orf97,KRT19,0.877,Unknown Hepatic Disease
KRT19,ENO2,0.791,Unknown Hepatic Disease
KRT19,KRT8,0.796,Unknown Hepatic Disease
KRT19,PROM1,0.812,Unknown Hepatic Disease
KRT19,DSP,0.84,Unknown Hepatic Disease
KRT19,KRT18,0.928,Unknown Hepatic Disease
DSP,KRT8,0.869,Unknown Hepatic Disease
DSP,KRT18,0.957,Unknown Hepatic Disease
KRT18,GPC3,0.405,Unknown Hepatic Disease
KRT18,ENO2,0.52,Unknown Hepatic Disease
KRT18,PROM1,0.524,Unknown Hepatic Disease
KRT18,AFP,0.704,Unknown Hepatic Disease
KRT18,KRT8,0.999,Unknown Hepatic Disease
GPC3,KRT8,0.431,Unknown Hepatic Disease
GPC3,PROM1,0.632,Unknown Hepatic Disease
AFP,PROM1,0.548,Unknown Hepatic Disease
AFP,KRT8,0.634,Unknown Hepatic Disease
AFP,ENO2,0.726,Unknown Hepatic Disease
PROM1,KRT8,0.482,Unknown Hepatic Disease
ENO2,KRT8,0.549,Unknown Hepatic Disease
WNT3,WNT5A,0.528,Unknown Hepatic Disease
WNT3,SHH,0.573,Unknown Hepatic Disease
WNT3,WNT4,0.64,Unknown Hepatic Disease
WNT3,WNT1,0.707,Unknown Hepatic Disease
WNT3,WNT2,0.743,Unknown Hepatic Disease
WNT3,GPC3,0.921,Unknown Hepatic Disease
WNT3,WNT3A,0.974,Unknown Hepatic Disease
WNT5A,IHH,0.523,Unknown Hepatic Disease
WNT5A,WNT3A,0.534,Unknown Hepatic Disease
WNT5A,SHH,0.669,Unknown Hepatic Disease
WNT5A,WNT2,0.711,Unknown Hepatic Disease
WNT5A,WNT1,0.736,Unknown Hepatic Disease
WNT5A,WNT4,0.871,Unknown Hepatic Disease
WNT5A,GPC3,0.96,Unknown Hepatic Disease
WNT2,IHH,0.414,Unknown Hepatic Disease
WNT2,IGF2,0.515,Unknown Hepatic Disease
WNT2,WNT4,0.536,Unknown Hepatic Disease
WNT2,SHH,0.638,Unknown Hepatic Disease
WNT2,WNT1,0.696,Unknown Hepatic Disease
WNT2,WNT3A,0.697,Unknown Hepatic Disease
WNT2,GPC3,0.927,Unknown Hepatic Disease
WNT3A,IHH,0.609,Unknown Hepatic Disease
WNT3A,WNT4,0.708,Unknown Hepatic Disease
WNT3A,SHH,0.775,Unknown Hepatic Disease
WNT3A,WNT1,0.832,Unknown Hepatic Disease
WNT3A,GPC3,0.986,Unknown Hepatic Disease
WNT4,IHH,0.552,Unknown Hepatic Disease
WNT4,SHH,0.552,Unknown Hepatic Disease
WNT4,WNT1,0.912,Unknown Hepatic Disease
WNT4,GPC3,0.926,Unknown Hepatic Disease
WNT1,IHH,0.446,Unknown Hepatic Disease
WNT1,SHH,0.805,Unknown Hepatic Disease
WNT1,GPC3,0.922,Unknown Hepatic Disease
IHH,SHH,0.951,Unknown Hepatic Disease
IHH,GPC3,0.964,Unknown Hepatic Disease
SHH,IGF2,0.479,Unknown Hepatic Disease
SHH,GPC3,0.959,Unknown Hepatic Disease
GPC3,IGF2,0.993,Unknown Hepatic Disease
AFP,IGF2,0.702,Unknown Hepatic Disease
CEACAM5,PAX8,0.506,Unknown Hepatic Disease
CEACAM5,WT1,0.541,Unknown Hepatic Disease
CEACAM5,NAPSA,0.597,Unknown Hepatic Disease
CEACAM5,CDX2,0.679,Unknown Hepatic Disease
CEACAM5,NKX2-1,0.697,Unknown Hepatic Disease
CEACAM5,PIP,0.699,Unknown Hepatic Disease
CEACAM5,SYP,0.701,Unknown Hepatic Disease
CEACAM5,KRT7,0.883,Unknown Hepatic Disease
NAPSA,AMACR,0.543,Unknown Hepatic Disease
NAPSA,PIP,0.592,Unknown Hepatic Disease
NAPSA,WT1,0.604,Unknown Hepatic Disease
NAPSA,SYP,0.644,Unknown Hepatic Disease
NAPSA,PAX8,0.72,Unknown Hepatic Disease
NAPSA,CDX2,0.72,Unknown Hepatic Disease
NAPSA,C17orf97,0.814,Unknown Hepatic Disease
NAPSA,NKX2-1,0.879,Unknown Hepatic Disease
NAPSA,KRT7,0.881,Unknown Hepatic Disease
SYP,AMACR,0.436,Unknown Hepatic Disease
SYP,PIP,0.48,Unknown Hepatic Disease
SYP,WT1,0.571,Unknown Hepatic Disease
SYP,PAX8,0.6,Unknown Hepatic Disease
SYP,CDX2,0.701,Unknown Hepatic Disease
SYP,NKX2-1,0.773,Unknown Hepatic Disease
SYP,C17orf97,0.812,Unknown Hepatic Disease
SYP,KRT7,0.84,Unknown Hepatic Disease
PAX8,PIP,0.582,Unknown Hepatic Disease
PAX8,AMACR,0.699,Unknown Hepatic Disease
PAX8,CDX2,0.72,Unknown Hepatic Disease
PAX8,WT1,0.781,Unknown Hepatic Disease
PAX8,C17orf97,0.792,Unknown Hepatic Disease
PAX8,KRT7,0.876,Unknown Hepatic Disease
PAX8,NKX2-1,0.98,Unknown Hepatic Disease
PIP,WT1,0.479,Unknown Hepatic Disease
PIP,NKX2-1,0.582,Unknown Hepatic Disease
PIP,CDX2,0.664,Unknown Hepatic Disease
PIP,C17orf97,0.81,Unknown Hepatic Disease
PIP,KRT7,0.848,Unknown Hepatic Disease
KRT7,AMACR,0.811,Unknown Hepatic Disease
KRT7,WT1,0.832,Unknown Hepatic Disease
KRT7,NKX2-1,0.873,Unknown Hepatic Disease
KRT7,CDX2,0.887,Unknown Hepatic Disease
KRT7,C17orf97,0.96,Unknown Hepatic Disease
NKX2-1,WT1,0.515,Unknown Hepatic Disease
NKX2-1,C17orf97,0.781,Unknown Hepatic Disease
C17orf97,AMACR,0.665,Unknown Hepatic Disease
C17orf97,WT1,0.709,Unknown Hepatic Disease
C17orf97,CDX2,0.904,Unknown Hepatic Disease
WT1,AMACR,0.43,Unknown Hepatic Disease
WT1,CDX2,0.583,Unknown Hepatic Disease
CDX2,AMACR,0.514,Unknown Hepatic Disease
APOC3,CD36,0.424,Unknown Hepatic Disease
APOC3,FABP2,0.485,Unknown Hepatic Disease
APOC3,PPARA,0.709,Unknown Hepatic Disease
APOC3,SCARB1,0.842,Unknown Hepatic Disease
APOC3,FABP1,0.933,Unknown Hepatic Disease
APOC3,APOB,0.999,Unknown Hepatic Disease
APOC3,APOA1,0.999,Unknown Hepatic Disease
APOB,FABP4,0.401,Unknown Hepatic Disease
APOB,FABP2,0.664,Unknown Hepatic Disease
APOB,GOT2,0.773,Unknown Hepatic Disease
APOB,PPARA,0.819,Unknown Hepatic Disease
APOB,FABP1,0.898,Unknown Hepatic Disease
APOB,CD36,0.98,Unknown Hepatic Disease
APOB,SCARB1,0.997,Unknown Hepatic Disease
APOB,APOA1,0.999,Unknown Hepatic Disease
APOA1,GOT2,0.414,Unknown Hepatic Disease
APOA1,FABP2,0.691,Unknown Hepatic Disease
APOA1,PPARA,0.828,Unknown Hepatic Disease
APOA1,FABP1,0.88,Unknown Hepatic Disease
APOA1,CD36,0.917,Unknown Hepatic Disease
APOA1,SCARB1,0.999,Unknown Hepatic Disease
GOT2,PPARA,0.778,Unknown Hepatic Disease
GOT2,SCARB1,0.838,Unknown Hepatic Disease
GOT2,CD36,0.86,Unknown Hepatic Disease
GOT2,FABP4,0.904,Unknown Hepatic Disease
GOT2,FABP3,0.949,Unknown Hepatic Disease
GOT2,FABP2,0.957,Unknown Hepatic Disease
GOT2,FABP1,0.96,Unknown Hepatic Disease
FABP4,FABP2,0.621,Unknown Hepatic Disease
FABP4,FABP3,0.683,Unknown Hepatic Disease
FABP4,PPARA,0.795,Unknown Hepatic Disease
FABP4,SCARB1,0.865,Unknown Hepatic Disease
FABP4,FABP1,0.904,Unknown Hepatic Disease
FABP4,CD36,0.969,Unknown Hepatic Disease
SCARB1,FABP2,0.547,Unknown Hepatic Disease
SCARB1,FABP3,0.751,Unknown Hepatic Disease
SCARB1,FABP1,0.877,Unknown Hepatic Disease
SCARB1,PPARA,0.896,Unknown Hepatic Disease
FABP2,FABP3,0.519,Unknown Hepatic Disease
FABP2,CD36,0.574,Unknown Hepatic Disease
FABP2,PPARA,0.58,Unknown Hepatic Disease
FABP2,FABP1,0.965,Unknown Hepatic Disease
FABP1,FABP3,0.929,Unknown Hepatic Disease
FABP1,CD36,0.938,Unknown Hepatic Disease
FABP1,PPARA,0.964,Unknown Hepatic Disease
FABP3,PPARA,0.614,Unknown Hepatic Disease
FABP3,CD36,0.786,Unknown Hepatic Disease
PPARA,CD36,0.952,Unknown Hepatic Disease
NR0B2,NR1H3,0.941,Unknown Hepatic Disease
NR0B2,ABCB11,0.948,Unknown Hepatic Disease
NR0B2,NR1I2,0.952,Unknown Hepatic Disease
NR0B2,CYP8B1,0.958,Unknown Hepatic Disease
NR0B2,CYP7A1,0.974,Unknown Hepatic Disease
NR0B2,PPARG,0.976,Unknown Hepatic Disease
NR0B2,NR1H4,0.986,Unknown Hepatic Disease
NR0B2,CREB3,0.988,Unknown Hepatic Disease
NR0B2,HNF4A,0.994,Unknown Hepatic Disease
NR0B2,NR5A2,0.999,Unknown Hepatic Disease
PPARG,NR1H4,0.539,Unknown Hepatic Disease
PPARG,HNF4A,0.582,Unknown Hepatic Disease
PPARG,CYP7A1,0.616,Unknown Hepatic Disease
PPARG,NR1H3,0.865,Unknown Hepatic Disease
CYP7A1,HNF4A,0.748,Unknown Hepatic Disease
CYP7A1,NR1I2,0.849,Unknown Hepatic Disease
CYP7A1,NR1H3,0.879,Unknown Hepatic Disease
CYP7A1,ABCB11,0.934,Unknown Hepatic Disease
CYP7A1,NR5A2,0.946,Unknown Hepatic Disease
CYP7A1,NR1H4,0.986,Unknown Hepatic Disease
HNF4A,ABCB11,0.508,Unknown Hepatic Disease
HNF4A,NR5A2,0.619,Unknown Hepatic Disease
HNF4A,CYP8B1,0.764,Unknown Hepatic Disease
HNF4A,NR1H4,0.786,Unknown Hepatic Disease
HNF4A,NR1I2,0.829,Unknown Hepatic Disease
CYP8B1,NR1H3,0.662,Unknown Hepatic Disease
CYP8B1,NR1I2,0.686,Unknown Hepatic Disease
CYP8B1,ABCB11,0.826,Unknown Hepatic Disease
CYP8B1,NR1H4,0.861,Unknown Hepatic Disease
CYP8B1,NR5A2,0.89,Unknown Hepatic Disease
NR1I2,NR5A2,0.495,Unknown Hepatic Disease
NR1I2,NR1H4,0.642,Unknown Hepatic Disease
NR1I2,ABCB11,0.839,Unknown Hepatic Disease
NR5A2,ABCB11,0.533,Unknown Hepatic Disease
NR5A2,NR1H3,0.646,Unknown Hepatic Disease
NR5A2,NR1H4,0.705,Unknown Hepatic Disease
NR1H4,NR1H3,0.426,Unknown Hepatic Disease
NR1H4,ABCB11,0.964,Unknown Hepatic Disease
NR1H3,ABCB11,0.432,Unknown Hepatic Disease
KDR,FGFR2,0.511,Unknown Hepatic Disease
KDR,SDC1,0.56,Unknown Hepatic Disease
KDR,FGFR1,0.681,Unknown Hepatic Disease
KDR,HSPG2,0.975,Unknown Hepatic Disease
KDR,FLT1,0.994,Unknown Hepatic Disease
KDR,FGF2,0.998,Unknown Hepatic Disease
FGF2,FLT1,0.993,Unknown Hepatic Disease
FGF2,SDC4,0.993,Unknown Hepatic Disease
FGF2,FGFBP1,0.995,Unknown Hepatic Disease
FGF2,SDC1,0.997,Unknown Hepatic Disease
FGF2,HSPG2,0.998,Unknown Hepatic Disease
FGF2,FGFR2,0.999,Unknown Hepatic Disease
FGF2,FGFR4,0.999,Unknown Hepatic Disease
FGF2,FGFR1,0.999,Unknown Hepatic Disease
FGF2,FGFR3,0.999,Unknown Hepatic Disease
FLT1,HSPG2,0.406,Unknown Hepatic Disease
FLT1,FGFR2,0.431,Unknown Hepatic Disease
FLT1,FGFR4,0.476,Unknown Hepatic Disease
FLT1,FGFR1,0.555,Unknown Hepatic Disease
FGFR4,FGFR2,0.632,Unknown Hepatic Disease
FGFR4,FGFR3,0.79,Unknown Hepatic Disease
FGFR4,FGFR1,0.967,Unknown Hepatic Disease
FGFR3,SDC1,0.457,Unknown Hepatic Disease
FGFR3,FGFR1,0.854,Unknown Hepatic Disease
FGFR3,FGFR2,0.987,Unknown Hepatic Disease
SDC4,HSPG2,0.785,Unknown Hepatic Disease
SDC4,FGFR1,0.887,Unknown Hepatic Disease
SDC4,SDC1,0.947,Unknown Hepatic Disease
HSPG2,FGFR2,0.441,Unknown Hepatic Disease
HSPG2,FGFR1,0.62,Unknown Hepatic Disease
HSPG2,FGFBP1,0.884,Unknown Hepatic Disease
HSPG2,SDC1,0.966,Unknown Hepatic Disease
SDC1,FGFR1,0.695,Unknown Hepatic Disease
FGFBP1,FGFR2,0.614,Unknown Hepatic Disease
FGFR1,FGFR2,0.853,Unknown Hepatic Disease
PRKAR2A,AKAP5,0.905,Unknown Hepatic Disease
PRKAR2A,PRKAR1A,0.922,Unknown Hepatic Disease
PRKAR2A,PRKAR1B,0.951,Unknown Hepatic Disease
PRKAR2A,AKAP1,0.97,Unknown Hepatic Disease
PRKAR2A,PRKAR2B,0.989,Unknown Hepatic Disease
PRKAR2A,PRKACA,0.999,Unknown Hepatic Disease
PRKAR2B,RYR2,0.41,Unknown Hepatic Disease
PRKAR2B,CREB1,0.499,Unknown Hepatic Disease
PRKAR2B,PRKAR1A,0.954,Unknown Hepatic Disease
PRKAR2B,PRKAR1B,0.968,Unknown Hepatic Disease
PRKAR2B,AKAP1,0.981,Unknown Hepatic Disease
PRKAR2B,AKAP5,0.996,Unknown Hepatic Disease
PRKAR2B,PRKACA,0.999,Unknown Hepatic Disease
PRKACA,RYR2,0.994,Unknown Hepatic Disease
PRKACA,CREB1,0.996,Unknown Hepatic Disease
PRKACA,EZR,0.998,Unknown Hepatic Disease
PRKACA,AKAP5,0.998,Unknown Hepatic Disease
PRKACA,PKIA,0.998,Unknown Hepatic Disease
PRKACA,PRKAR1B,0.999,Unknown Hepatic Disease
PRKACA,AKAP1,0.999,Unknown Hepatic Disease
PRKACA,PRKAR1A,0.999,Unknown Hepatic Disease
EZR,AKAP5,0.454,Unknown Hepatic Disease
RYR2,AKAP5,0.457,Unknown Hepatic Disease
PRKAR1A,CREB1,0.491,Unknown Hepatic Disease
PRKAR1A,AKAP5,0.593,Unknown Hepatic Disease
PRKAR1A,AKAP1,0.854,Unknown Hepatic Disease
PRKAR1A,PRKAR1B,0.98,Unknown Hepatic Disease
AKAP5,PRKAR1B,0.531,Unknown Hepatic Disease
AKAP5,AKAP1,0.931,Unknown Hepatic Disease
PRKAR1B,AKAP1,0.722,Unknown Hepatic Disease
CREB1,AKAP1,0.4,Unknown Hepatic Disease
